20181210 095300;2631;2631.25;2631;2631.25;5
20181210 095400;2630.75;2632;2630.5;2630.5;24
20181210 095500;2629.75;2629.75;2628.75;2628.75;10
20181210 095600;2628.25;2629;2628;2629;8
20181210 095700;2629;2629;2628.75;2628.75;12
20181210 095800;2629.25;2629.5;2629.25;2629.25;8
20181210 095900;2629.75;2630;2629.75;2630;6
20181210 100000;2632;2632;2631.25;2631.25;4
20181210 100100;2631.5;2631.5;2631.5;2631.5;1
20181210 100200;2631;2631;2630.5;2630.5;3
20181210 100300;2630;2630;2630;2630;1
20181210 100400;2629.5;2629.5;2629.25;2629.5;6
20181210 100500;2629.25;2629.25;2629.25;2629.25;1
20181210 100600;2630;2630;2630;2630;1
20181210 100800;2630.75;2630.75;2630.25;2630.25;2
20181210 100900;2630.25;2630.25;2629.75;2629.75;3
20181210 101000;2630;2630.25;2630;2630.25;2
20181210 101100;2630;2630;2630;2630;1
20181210 101200;2630.5;2630.5;2630.5;2630.5;1
20181210 101300;2630.5;2632;2630.5;2632;11
20181210 101500;2632;2632.5;2632;2632.25;4
20181210 101600;2632.5;2632.5;2632.5;2632.5;1
20181210 101800;2631.75;2631.75;2631.5;2631.75;4
20181210 102000;2631.75;2631.75;2631.75;2631.75;1
20181210 102100;2632;2632.25;2631;2631;34
20181210 102300;2631.25;2631.25;2631;2631;22
20181210 102400;2631;2631;2630.25;2630.25;7
20181210 102500;2630.25;2630.25;2628.5;2629.25;44
20181210 102600;2629.5;2630.25;2629.5;2630.25;4
20181210 102700;2630;2630.25;2630;2630;5
20181210 102800;2630;2630;2630;2630;3
20181210 102900;2630;2630;2630;2630;1
20181210 103000;2630.75;2630.75;2630.5;2630.5;2
20181210 103200;2630.75;2630.75;2630.75;2630.75;2
20181210 103300;2630.75;2630.75;2630.5;2630.5;2
20181210 103400;2630.25;2630.5;2630.25;2630.5;2
20181210 103500;2630.25;2630.25;2630.25;2630.25;1
20181210 103900;2629.5;2631.75;2629.5;2631.5;8
20181210 104000;2632;2632.5;2632;2632.5;3
20181210 104300;2632.25;2632.25;2632.25;2632.25;2
20181210 104400;2631.75;2631.75;2631.75;2631.75;1
20181210 104600;2631.75;2631.75;2631.75;2631.75;1
20181210 104700;2631.25;2631.75;2631.25;2631.75;6
20181210 104800;2631.5;2632;2631.5;2632;7
20181210 105100;2631.5;2631.75;2631;2631;10
20181210 105200;2631;2631.5;2631;2631.5;5
20181210 105300;2630.75;2630.75;2630.75;2630.75;5
20181210 105400;2631;2631;2631;2631;1
20181210 105500;2630.75;2630.75;2630.5;2630.5;2
20181210 105600;2631.75;2631.75;2631.75;2631.75;1
20181210 105700;2632;2632;2632;2632;1
20181210 105800;2632.5;2632.5;2632.5;2632.5;1
